Date,Inflow_1000Cusecs
2018Apr1,36.3
2018Apr2,44.2
2018Apr3,49.7
2018May1,55.4
2018May2,61.2
2018May3,64.5
2018Jun1,69.4
2018Jun2,72.2
2018Jun3,74.0
2018Jul1,73.3
2018Jul2,75.0
2018Jul3,73.9
2018Aug1,72.1
2018Aug2,70.1
2018Aug3,63.5
2018Sep1,60.5
2018Sep2,54.8
2018Sep3,49.5
2018Oct1,44.5
2018Oct2,37.9
2018Oct3,29.8
2018Nov1,25.8
2018Nov2,21.4
2018Nov3,13.2
2018Dec1,13.5
2018Dec2,9.3
2018Dec3,9.4
2019Jan1,8.4
2019Jan2,8.3
2019Jan3,9.0
2019Feb1,12.9
2019Feb2,15.2
2019Feb3,16.5
2019Mar1,21.4
2019Mar2,27.3
2019Mar3,33.3
2019Apr1,40.7
2019Apr2,44.9
2019Apr3,50.6
2019May1,57.6
2019May2,60.2
2019May3,67.1
2019Jun1,71.0
2019Jun2,73.7
2019Jun3,78.3
2019Jul1,75.8
2019Jul2,78.0
2019Jul3,77.4
2019Aug1,74.3
2019Aug2,69.7
2019Aug3,66.9
2019Sep1,63.5
2019Sep2,57.0
2019Sep3,49.3
2019Oct1,46.2
2019Oct2,39.0
2019Oct3,33.3
2019Nov1,26.4
2019Nov2,22.4
2019Nov3,17.5
2019Dec1,13.4
2019Dec2,11.7
2019Dec3,10.2
2020Jan1,9.4
2020Jan2,10.3
2020Jan3,9.3
2020Feb1,13.6
2020Feb2,16.6
2020Feb3,17.3
2020Mar1,24.3
2020Mar2,28.4
2020Mar3,34.8
2020Apr1,41.8
2020Apr2,48.1
2020Apr3,55.7
2020May1,60.3
2020May2,65.2
2020May3,69.5
2020Jun1,73.6
2020Jun2,76.8
2020Jun3,78.3
2020Jul1,78.0
2020Jul2,79.8
2020Jul3,79.9
2020Aug1,75.1
2020Aug2,72.1
2020Aug3,67.2
2020Sep1,61.9
2020Sep2,58.4
2020Sep3,52.3
2020Oct1,47.4
2020Oct2,42.4
2020Oct3,36.0
2020Nov1,26.3
2020Nov2,25.2
2020Nov3,19.0
2020Dec1,15.7
2020Dec2,14.5
2020Dec3,11.9
2021Jan1,10.3
2021Jan2,11.0
2021Jan3,12.7
2021Feb1,14.5
2021Feb2,18.3
2021Feb3,22.4
2021Mar1,24.8
2021Mar2,32.8
2021Mar3,36.5
