Date,inflow_cusec
01/04/2018,35513
02/04/2018,32081
03/04/2018,38055
04/04/2018,39230
05/04/2018,31160
06/04/2018,33713
07/04/2018,38610
08/04/2018,37885
09/04/2018,39391
10/04/2018,37490
11/04/2018,43295
12/04/2018,43598
13/04/2018,42071
14/04/2018,45861
15/04/2018,44488
16/04/2018,41113
17/04/2018,45401
18/04/2018,42021
19/04/2018,48135
20/04/2018,45950
21/04/2018,46143
22/04/2018,45251
23/04/2018,51555
24/04/2018,48016
25/04/2018,47784
26/04/2018,48599
27/04/2018,51836
28/04/2018,51917
29/04/2018,52636
30/04/2018,53265
01/05/2018,58968
02/05/2018,51891
03/05/2018,52137
04/05/2018,51792
05/05/2018,56636
06/05/2018,58726
07/05/2018,55543
08/05/2018,53907
09/05/2018,54490
10/05/2018,59448
11/05/2018,60252
12/05/2018,60174
13/05/2018,57064
14/05/2018,60267
15/05/2018,60426
16/05/2018,61231
17/05/2018,63682
18/05/2018,62225
19/05/2018,64071
20/05/2018,62711
21/05/2018,63843
22/05/2018,65331
23/05/2018,59519
24/05/2018,63378
25/05/2018,63366
26/05/2018,63293
27/05/2018,64809
28/05/2018,70537
29/05/2018,63864
30/05/2018,69769
31/05/2018,62210
01/06/2018,66640
02/06/2018,68511
03/06/2018,70152
04/06/2018,70888
05/06/2018,71488
06/06/2018,68406
07/06/2018,68402
08/06/2018,72690
09/06/2018,69861
10/06/2018,66917
11/06/2018,67645
12/06/2018,68579
13/06/2018,73111
14/06/2018,72320
15/06/2018,74228
16/06/2018,71129
17/06/2018,73132
18/06/2018,74768
19/06/2018,72189
20/06/2018,74704
21/06/2018,71554
22/06/2018,72647
23/06/2018,72778
24/06/2018,70512
25/06/2018,75728
26/06/2018,73015
27/06/2018,74608
28/06/2018,76149
29/06/2018,76173
30/06/2018,76946
01/07/2018,74760
02/07/2018,73882
03/07/2018,74998
04/07/2018,70251
05/07/2018,71036
06/07/2018,71464
07/07/2018,72485
08/07/2018,76710
09/07/2018,72818
10/07/2018,74413
11/07/2018,79448
12/07/2018,74474
13/07/2018,77738
14/07/2018,72696
15/07/2018,74842
16/07/2018,72559
17/07/2018,74333
18/07/2018,77802
19/07/2018,70019
20/07/2018,76414
21/07/2018,75724
22/07/2018,73118
23/07/2018,70441
24/07/2018,74865
25/07/2018,72919
26/07/2018,75055
27/07/2018,74262
28/07/2018,78831
29/07/2018,73127
30/07/2018,70584
31/07/2018,73992
01/08/2018,73904
02/08/2018,77102
03/08/2018,75300
04/08/2018,73627
05/08/2018,76698
06/08/2018,68484
07/08/2018,69864
08/08/2018,68728
09/08/2018,70053
10/08/2018,66798
11/08/2018,72530
12/08/2018,69646
13/08/2018,65579
14/08/2018,66615
15/08/2018,70265
16/08/2018,71492
17/08/2018,74613
18/08/2018,77001
19/08/2018,69131
20/08/2018,64540
21/08/2018,60725
22/08/2018,67529
23/08/2018,63885
24/08/2018,64667
25/08/2018,63659
26/08/2018,64648
27/08/2018,67836
28/08/2018,64670
29/08/2018,63276
30/08/2018,60192
31/08/2018,57816
01/09/2018,60914
02/09/2018,61739
03/09/2018,66726
04/09/2018,61328
05/09/2018,63394
06/09/2018,58451
07/09/2018,55892
08/09/2018,56044
09/09/2018,56250
10/09/2018,64293
11/09/2018,54920
12/09/2018,59371
13/09/2018,53613
14/09/2018,58579
15/09/2018,56397
16/09/2018,54226
17/09/2018,54024
18/09/2018,51627
19/09/2018,54372
20/09/2018,51107
21/09/2018,48230
22/09/2018,47505
23/09/2018,51285
24/09/2018,54930
25/09/2018,50096
26/09/2018,48680
27/09/2018,49312
28/09/2018,51788
29/09/2018,47942
30/09/2018,45463
01/10/2018,49425
02/10/2018,46801
03/10/2018,49529
04/10/2018,44878
05/10/2018,40060
06/10/2018,39033
07/10/2018,47494
08/10/2018,47116
09/10/2018,40809
10/10/2018,39601
11/10/2018,44538
12/10/2018,36236
13/10/2018,36277
14/10/2018,40295
15/10/2018,36587
16/10/2018,37162
17/10/2018,36094
18/10/2018,37006
19/10/2018,39626
20/10/2018,35087
21/10/2018,36161
22/10/2018,27494
23/10/2018,32916
24/10/2018,29953
25/10/2018,28250
26/10/2018,28697
27/10/2018,29758
28/10/2018,32940
29/10/2018,25648
30/10/2018,29157
31/10/2018,27055
01/11/2018,26970
02/11/2018,30411
03/11/2018,28470
04/11/2018,30326
05/11/2018,25313
06/11/2018,23155
07/11/2018,24043
08/11/2018,24919
09/11/2018,24203
10/11/2018,19907
11/11/2018,22923
12/11/2018,22834
13/11/2018,29205
14/11/2018,26792
15/11/2018,18117
16/11/2018,19336
17/11/2018,15335
18/11/2018,17487
19/11/2018,19746
20/11/2018,21964
21/11/2018,15713
22/11/2018,15498
23/11/2018,10586
24/11/2018,16115
25/11/2018,12998
26/11/2018,14187
27/11/2018,12742
28/11/2018,14694
29/11/2018,9317
30/11/2018,9809
01/12/2018,20227
02/12/2018,9614
03/12/2018,9831
04/12/2018,18285
05/12/2018,21152
06/12/2018,8592
07/12/2018,10681
08/12/2018,12499
09/12/2018,16357
10/12/2018,8000
11/12/2018,9856
12/12/2018,12647
13/12/2018,11353
14/12/2018,8662
15/12/2018,9141
16/12/2018,8000
17/12/2018,8360
18/12/2018,8056
19/12/2018,9341
20/12/2018,8000
21/12/2018,9669
22/12/2018,11111
23/12/2018,8369
24/12/2018,8797
25/12/2018,8000
26/12/2018,8000
27/12/2018,8000
28/12/2018,8148
29/12/2018,8000
30/12/2018,13267
31/12/2018,11618
01/01/2019,8000
02/01/2019,8000
03/01/2019,8000
04/01/2019,10214
05/01/2019,8000
06/01/2019,8014
07/01/2019,8000
08/01/2019,9330
09/01/2019,8000
10/01/2019,8000
11/01/2019,8000
12/01/2019,8000
13/01/2019,8000
14/01/2019,8000
15/01/2019,8000
16/01/2019,8000
17/01/2019,8000
18/01/2019,11457
19/01/2019,8000
20/01/2019,8000
21/01/2019,8000
22/01/2019,8416
23/01/2019,8000
24/01/2019,8000
25/01/2019,8983
26/01/2019,13358
27/01/2019,8000
28/01/2019,11150
29/01/2019,8000
30/01/2019,8797
31/01/2019,8000
01/02/2019,8439
02/02/2019,13588
03/02/2019,11690
04/02/2019,15403
05/02/2019,14012
06/02/2019,12079
07/02/2019,16285
08/02/2019,12671
09/02/2019,14148
10/02/2019,11093
11/02/2019,12510
12/02/2019,10554
13/02/2019,15960
14/02/2019,9809
15/02/2019,16053
16/02/2019,13504
